weight_bracket,shipment_count,current_total,s14_total,current_avg,s14_avg,p2p_us_count,p2p_us2_count,fedex_count,forced_count,diff,diff_pct
47,98,3471.1228943310807,2977.710378378378,35.41962137072532,30.384799779371207,2,0,96,0,-493.4125159527025,-14.21478095052546
48,27,863.2297407905405,762.5778270270271,31.97147188113113,28.243623223223224,0,0,27,0,-100.65191376351345,-11.659921919666141
49,53,1835.4351204324328,1666.432248648649,34.63085132891383,31.442117899031114,0,0,53,0,-169.0028717837838,-9.207782389168097
50,15,417.7359783783784,417.7359783783784,27.849065225225225,27.849065225225225,0,0,15,0,0.0,0.0
51,16,788.3978702702702,788.3978702702702,49.27486689189189,49.27486689189189,0,0,16,0,0.0,0.0
52,21,956.1531243243242,956.1531243243242,45.53110115830115,45.53110115830115,0,0,21,0,0.0,0.0
53,8,389.60206486486493,389.60206486486493,48.700258108108116,48.700258108108116,0,0,8,0,0.0,0.0
54,6,258.5163027027027,258.5163027027027,43.08605045045045,43.08605045045045,0,0,6,0,0.0,0.0
55,10,431.1390629358108,443.41878918918917,43.11390629358108,44.341878918918916,0,0,10,0,12.279726253378385,2.8482054420586396
56,5,326.36510270270264,326.36510270270264,65.27302054054053,65.27302054054053,0,0,5,0,0.0,0.0
57,2,88.15916405067568,97.54237837837837,44.07958202533784,48.77118918918919,0,0,2,0,9.383214327702689,10.643492856067722
58,31,1511.1979885067574,1525.0269189189196,48.7483222098954,49.19441673931998,0,0,31,0,13.828930412162208,0.915097195558527
59,1,44.47687567567568,44.47687567567568,44.47687567567568,44.47687567567568,0,0,1,0,0.0,0.0
60,2,110.07705945945945,110.07705945945945,55.038529729729724,55.038529729729724,0,0,2,0,0.0,0.0
61,11,567.2050486486487,567.2050486486487,51.564095331695334,51.564095331695334,0,0,11,0,0.0,0.0
62,7,366.33964232770273,375.0331783783784,52.33423461824325,53.576168339768344,0,0,7,0,8.693536050675675,2.373080891665834
63,1,42.32825945945946,42.32825945945946,42.32825945945946,42.32825945945946,0,0,1,0,0.0,0.0
64,5,258.05134054054054,258.05134054054054,51.61026810810811,51.61026810810811,0,0,5,0,0.0,0.0
65,4,173.07907027027028,173.07907027027028,43.26976756756757,43.26976756756757,0,0,4,0,0.0,0.0
66,12,626.9161729729731,626.9161729729731,52.243014414414425,52.243014414414425,0,0,12,0,0.0,0.0
67,4,191.52432432432434,191.52432432432434,47.881081081081085,47.881081081081085,0,0,4,0,0.0,0.0
68,2,97.5688972972973,97.5688972972973,48.78444864864865,48.78444864864865,0,0,2,0,0.0,0.0
69,4,207.1824324324324,207.1824324324324,51.7956081081081,51.7956081081081,0,0,4,0,0.0,0.0
70,3,133.85556756756756,133.85556756756756,44.61852252252252,44.61852252252252,0,0,3,0,0.0,0.0
