zip_code,shipping_state,phx_zone,cmh_zone,das
32955,Florida,8,5,DAS
78742,Texas,4,5,EDAS
33478,Florida,8,5,NO
94132,California,5,5,NO
07461,New Jersey,8,4,DAS
75087,Texas,5,5,NO
48036,Michigan,7,3,DAS
02817,Rhode Island,8,5,DAS
03870,New Hampshire,8,5,DAS
95116,California,4,5,NO
27217,North Carolina,8,3,DAS
20601,Maryland,8,4,NO
02839,Rhode Island,8,4,DAS
92030,California,4,5,NO
95378,California,4,5,NO
44067,Ohio,7,2,NO
11241,New York,8,5,NO
44703,Ohio,7,3,NO
48187,Michigan,7,3,NO
77315,Texas,4,5,NO
76527,Texas,5,5,NO
10578,New York,8,5,DAS
85723,Arizona,2,8,NO
53045,Wisconsin,7,4,NO
18421,Pennsylvania,8,4,DAS
10553,New York,8,5,NO
08899,New Jersey,8,4,NO
45435,Ohio,7,3,NO
63105,Missouri,6,4,NO
12189,New York,8,4,NO
37207,Tennessee,7,3,NO
63025,Missouri,6,4,NO
85122,Arizona,2,8,DAS
22212,Virginia,8,5,NO
89508,Nevada,4,4,NO
91225,California,4,5,NO
93718,California,4,5,NO
93102,California,4,5,NO
55112,Minnesota,6,4,NO
20064,District Of Columbia,8,8,NO
34946,Florida,8,5,DAS
85249,Arizona,2,8,NO
15201,Pennsylvania,8,2,NO
45682,Ohio,7,3,EDAS
63110,Missouri,6,5,NO
