zone,packagetype,total_cost,avg_weight,usps_pct,fedex_pct,p2p_pct,usps_avg,fedex_avg,p2p_avg
4,PIZZA BOX 27x23x2 (2x strapped),591.37,15.6,0.0,52.5,47.5,,12.96,6.78
4,PIZZA BOX 30x20x3 (3x strapped),643.65,24.3,0.0,98.0,2.0,,12.93,10.18
4,WRAP 40''x30'',325.06,7.6,0.0,100.0,0.0,,11.61,
4,WRAP 36''x24'' [x3],314.75,31.2,0.0,100.0,0.0,,14.99,
4,PIZZA BOX 27x23x2 (3x strapped),151.83,26.8,0.0,91.7,8.3,,13.0,8.86
4,WRAP 40''x30'' [x3],106.02,22.2,0.0,100.0,0.0,,26.5,
4,PAPIER-VERSANDTASCHE klein 250x353x50,4.31,1.1,0.0,0.0,100.0,,,4.31
5,PIZZA BOX 20x16x1,169299.65,1.3,42.1,17.7,40.2,6.64,8.27,4.4
5,PIZZA BOX 12x8x1,59075.35,0.7,47.8,0.6,51.7,4.61,8.39,4.17
5,PIZZA BOX 16x12x2,69618.09,2.2,39.0,19.0,42.0,8.06,8.34,4.41
5,WRAP 16''x12'',53951.72,1.3,39.1,2.9,58.1,6.69,8.4,4.36
5,PIZZA BOX 24x20x2,76228.83,4.3,16.3,28.8,54.9,12.16,10.74,4.68
5,PIZZA BOX 36x24x2,96240.79,6.0,1.4,70.5,28.2,14.97,12.42,5.15
5,PIZZA BOX 20x16x2,57262.37,3.2,37.6,9.8,52.6,8.89,9.3,4.53
5,PIZZA BOX 42x32x2,107326.37,9.0,0.0,100.0,0.0,,16.06,
5,WRAP 24''x16'',39567.82,2.6,17.3,38.2,44.5,11.15,8.6,4.4
5,PIZZA BOX 40x30x1,51841.74,3.3,26.1,73.9,0.0,11.91,9.9,
5,PIZZA BOX 48X36X1,87037.95,8.0,0.0,100.0,0.0,,17.6,
5,"CROSS PACKAGING 30X24""",26811.0,6.0,5.2,30.6,64.2,12.83,11.15,4.76
5,"21"" Tube",17156.37,0.6,31.1,21.6,47.3,7.26,8.33,4.32
5,PIZZA BOX 30x20x3,20957.34,5.5,1.6,39.0,59.3,15.48,13.2,5.05
5,POLY BAG 9x12,5378.46,0.8,35.4,0.6,64.0,4.89,8.25,4.35
5,MUG BOX 16x12x8,8104.26,4.6,30.2,12.6,57.2,9.68,10.1,4.79
5,"26"" Tube",6195.42,0.7,31.6,5.5,62.9,7.24,8.43,4.35
5,MUG BOX 5x5x5,4727.66,0.9,33.9,0.1,66.0,5.16,8.25,4.22
5,PIZZA BOX 42x32x2 (2x strapped),18619.07,22.9,0.0,100.0,0.0,,25.72,
5,MIXPIX BOX,3438.62,1.2,44.0,1.8,54.2,5.91,8.95,4.37
5,"CROSS PACKAGING 49X30""",13058.24,18.0,0.0,100.0,0.0,,20.44,
5,"",3913.1,2.2,30.1,19.3,50.6,8.04,8.25,4.4
5,PIZZA BOX 27x23x2,5066.91,7.4,1.9,41.5,56.6,14.04,13.3,5.01
5,"POLY BAG 14,5x19",3464.72,3.7,22.0,10.9,67.1,9.7,9.91,4.75
5,BUBBLE MAILER 9x14,1920.11,0.5,77.7,0.0,22.3,4.01,,4.15
5,PIZZA BOX 24x20x2 (2x strapped),3916.46,11.0,0.9,40.8,58.4,14.94,13.0,5.64
5,BOX 16x24x12,5418.06,9.6,0.0,73.1,26.9,,14.14,8.31
5,PIZZA BOX 40x30x2,5590.96,7.7,1.0,99.0,0.0,14.18,14.23,
5,PIZZA BOX 36x24x2 (2x strapped),4546.34,16.1,0.0,60.6,39.4,,16.05,7.54
5,PIZZA BOX 30x20x3 (2x strapped),3974.56,11.1,0.0,45.6,54.4,,15.5,7.83
5,PIZZA BOX 42x32x2 (3x strapped),10580.89,37.3,0.0,100.0,0.0,,30.67,
