zone,packagetype,total_ships,total_cost,avg_weight_lbs,usps_ships,usps_pct,usps_cost,usps_avg,fedex_ships,fedex_pct,fedex_cost,fedex_avg,p2p_ships,p2p_pct,p2p_cost,p2p_avg,fedex_sp_ships,fedex_hd_ships
4,"21"" Tube",4704,25595.53,0.59,1895,40.3,13096.06,6.91,110,2.3,922.17,8.38,2699,57.4,11577.3,4.29,107,3
4,PIZZA BOX 30x20x3,3387,28501.05,5.51,345,10.2,4596.19,13.32,1317,38.9,15349.32,11.65,1725,50.9,8555.54,4.96,112,1205
4,POLY BAG 9x12,1963,8640.42,0.85,1597,81.4,7080.33,4.43,0,0.0,0.0,,366,18.6,1560.09,4.26,0,0
4,"26"" Tube",1673,9133.21,0.68,632,37.8,4368.98,6.91,74,4.4,615.87,8.32,967,57.8,4148.36,4.29,72,2
4,MUG BOX 16x12x8,1640,10746.93,4.59,848,51.7,6838.66,8.06,40,2.4,357.04,8.93,752,45.9,3551.23,4.72,40,0
4,MUG BOX 5x5x5,1528,6787.85,0.89,707,46.3,3379.18,4.78,1,0.1,8.32,8.32,820,53.7,3400.35,4.15,1,0
4,MIXPIX BOX,1137,5731.13,1.31,615,54.1,3329.6,5.41,39,3.4,324.46,8.32,483,42.5,2077.07,4.3,39,0
4,"",915,5094.23,2.31,369,40.3,2635.11,7.14,10,1.1,118.65,11.87,536,58.6,2340.47,4.37,8,2
4,"CROSS PACKAGING 49X30""",810,13984.81,17.93,0,0.0,0.0,,810,100.0,13984.81,17.27,0,0.0,0.0,,807,3
4,PIZZA BOX 27x23x2,797,6680.93,7.28,163,20.5,2109.8,12.94,233,29.2,2604.28,11.18,401,50.3,1966.85,4.9,24,209
4,BUBBLE MAILER 9x14,712,2815.45,0.47,610,85.7,2398.08,3.93,0,0.0,0.0,,102,14.3,417.37,4.09,0,0
4,"POLY BAG 14,5x19",700,4267.15,3.76,288,41.1,2265.58,7.87,18,2.6,160.57,8.92,394,56.3,1841.0,4.67,18,0
4,PIZZA BOX 42x32x2 (2x strapped),690,15053.33,23.05,0,0.0,0.0,,690,100.0,15053.33,21.82,0,0.0,0.0,,653,37
4,PIZZA BOX 24x20x2 (2x strapped),562,5142.41,10.86,7,1.2,95.11,13.59,310,55.2,3691.18,11.91,245,43.6,1356.12,5.54,25,285
