packagetype,p2p_zone,weight_group,shipments,carrier,assigned_avg,usps_avg,fedex_avg,p2p_avg
PIZZA BOX 24x20x2 (2x strapped),true,16-20,48,P2P,7.06,18.37,13.43,7.06
PIZZA BOX 24x20x2 (2x strapped),true,21+,3,FEDEX,11.6,200.0,11.6,7.8
PIZZA BOX 40x30x2,false,1-3,2,FEDEX,17.12,23.33,17.12,
PIZZA BOX 40x30x2,false,4-6,238,FEDEX,16.41,121.18,16.41,
PIZZA BOX 40x30x2,false,7-10,407,FEDEX,15.22,95.64,15.22,
PIZZA BOX 40x30x2,false,11-15,97,FEDEX,16.92,150.29,16.92,
PIZZA BOX 40x30x2,false,16-20,13,FEDEX,19.41,158.54,19.41,
PIZZA BOX 40x30x2,false,21+,6,FEDEX,20.23,200.0,20.23,
PIZZA BOX 40x30x2,true,1-3,3,FEDEX,19.03,17.78,19.03,39.64
PIZZA BOX 40x30x2,true,4-6,311,FEDEX,16.42,136.33,16.42,39.57
PIZZA BOX 40x30x2,true,7-10,489,FEDEX,14.99,104.55,14.99,39.54
PIZZA BOX 40x30x2,true,11-15,91,FEDEX,15.81,147.55,15.81,39.4
PIZZA BOX 40x30x2,true,16-20,24,FEDEX,17.99,190.35,17.99,39.7
PIZZA BOX 40x30x2,true,21+,11,FEDEX,18.41,200.0,18.41,39.13
BOX 16x24x12,false,1-3,2,FEDEX,22.74,80.5,22.74,
BOX 16x24x12,false,4-6,216,FEDEX,14.83,77.05,14.83,
BOX 16x24x12,false,7-10,305,FEDEX,15.14,77.05,15.14,
BOX 16x24x12,false,11-15,146,FEDEX,16.64,77.22,16.64,
BOX 16x24x12,false,16-20,62,FEDEX,15.89,76.59,15.89,
BOX 16x24x12,false,21+,47,FEDEX,16.99,200.0,16.99,
BOX 16x24x12,true,1-3,1,P2P,8.16,75.0,10.97,8.16
BOX 16x24x12,true,4-6,282,P2P,8.34,76.88,13.97,8.34
BOX 16x24x12,true,7-10,332,P2P,8.34,77.19,14.02,8.34
BOX 16x24x12,true,11-15,151,P2P,8.44,77.15,15.06,8.44
BOX 16x24x12,true,16-20,52,P2P,8.32,76.98,13.62,8.32
BOX 16x24x12,true,21+,70,P2P,9.71,200.0,14.4,12.22
PIZZA BOX 30x20x3 (2x strapped),false,4-6,118,FEDEX,15.0,75.42,15.0,
PIZZA BOX 30x20x3 (2x strapped),false,7-10,298,FEDEX,15.14,75.45,15.14,
PIZZA BOX 30x20x3 (2x strapped),false,11-15,144,FEDEX,14.91,75.44,14.91,
PIZZA BOX 30x20x3 (2x strapped),false,16-20,123,FEDEX,15.4,75.34,15.4,
PIZZA BOX 30x20x3 (2x strapped),false,21+,44,FEDEX,15.49,200.0,15.49,
PIZZA BOX 30x20x3 (2x strapped),true,4-6,110,P2P,7.92,75.43,14.61,7.92
PIZZA BOX 30x20x3 (2x strapped),true,7-10,333,P2P,7.86,75.21,14.62,7.86
PIZZA BOX 30x20x3 (2x strapped),true,11-15,166,P2P,7.88,75.4,14.9,7.88
PIZZA BOX 30x20x3 (2x strapped),true,16-20,134,P2P,7.84,75.38,13.99,7.84
PIZZA BOX 30x20x3 (2x strapped),true,21+,49,FEDEX,11.93,200.0,14.69,13.72
MUG BOX 9x7x5,false,1-3,640,USPS,7.19,7.18,10.12,
MUG BOX 9x7x5,true,1-3,853,P2P,4.43,7.52,8.78,4.41
"CROSS PACKAGING 40X30""",false,4-6,1,FEDEX,11.61,28.16,11.61,
"CROSS PACKAGING 40X30""",false,7-10,147,FEDEX,13.94,20.07,13.94,
"CROSS PACKAGING 40X30""",false,11-15,456,FEDEX,15.92,24.68,15.92,
"CROSS PACKAGING 40X30""",false,16-20,125,FEDEX,17.51,26.53,17.51,
"CROSS PACKAGING 40X30""",false,21+,16,FEDEX,15.78,200.0,15.78,
"CROSS PACKAGING 40X30""",true,4-6,1,FEDEX,12.44,22.92,12.44,39.0
"CROSS PACKAGING 40X30""",true,7-10,143,FEDEX,12.76,20.38,12.76,33.64
