zip_code,das_type_hd,das_type_sp
05040,DAS_EXTENDED,DAS_EXTENDED
05046,DAS_EXTENDED,
05051,,DAS_EXTENDED
05053,DAS,DAS
05055,DAS,
05059,DAS,DAS_EXTENDED
05060,,DAS
05061,DAS,DAS
05067,DAS_EXTENDED,
05068,,DAS_EXTENDED
05081,DAS_EXTENDED,DAS_EXTENDED
05089,DAS,
05091,DAS,DAS
05101,,DAS
05142,,DAS_EXTENDED
05143,DAS_EXTENDED,DAS_EXTENDED
05146,,DAS_EXTENDED
05148,DAS_EXTENDED,DAS_EXTENDED
05149,DAS_EXTENDED,DAS_EXTENDED
05150,DAS,
05151,DAS_EXTENDED,DAS_EXTENDED
05152,DAS_EXTENDED,
05156,DAS,DAS
05158,DAS,
05161,,DAS_EXTENDED
05201,DAS,DAS
05250,DAS_EXTENDED,DAS_EXTENDED
05251,,DAS_EXTENDED
05253,DAS,
05255,DAS,DAS
05257,DAS_EXTENDED,DAS_EXTENDED
05261,DAS_EXTENDED,
05262,DAS_EXTENDED,DAS_EXTENDED
05301,DAS,DAS
05340,DAS_EXTENDED,
05343,DAS_EXTENDED,DAS_EXTENDED
05345,,DAS_EXTENDED
05346,DAS,DAS
05350,DAS_EXTENDED,
05352,DAS_EXTENDED,DAS_EXTENDED
05354,,DAS
05355,,DAS_EXTENDED
05356,DAS_EXTENDED,
05358,,DAS_EXTENDED
05363,DAS_EXTENDED,DAS_EXTENDED
05440,DAS_REMOTE,DAS_EXTENDED
05442,DAS_EXTENDED,
05443,DAS,DAS
05444,DAS_EXTENDED,
05445,,DAS
05450,DAS_EXTENDED,DAS_EXTENDED
05454,DAS,DAS
05455,DAS_EXTENDED,
05456,,DAS_EXTENDED
05457,DAS_EXTENDED,DAS_EXTENDED
05458,DAS_EXTENDED,DAS_EXTENDED
05461,DAS,DAS
05462,DAS_EXTENDED,DAS_EXTENDED
05464,DAS_EXTENDED,DAS_EXTENDED
05465,DAS,DAS
05472,DAS_EXTENDED,DAS_EXTENDED
05473,DAS,
05481,,DAS_EXTENDED
05487,,DAS_EXTENDED
05488,DAS_EXTENDED,DAS_EXTENDED
